Date,Open,High,Low,Close,Adj Close,Volume,股票代碼,公司名稱,產業類別,SMA_20,K,D,B_K,B_D,macd,dif,macd_d,buyOrsell,B_Close,winOrloss,percentage
2020-03-20,258.5,270.0,256.0,270.0,248.48448181152344,157664726,2330,台積電,半導體業,300.475,23.18198484553912,17.681052419506326,11.772976236503872,14.930585646811512,-16.720252529028357,-11.785605458578273,-16.759335398461815,1,267.5,-1,-0.009259259259259259
2021-03-26,582.0,592.0,580.0,590.0,555.2976684570312,36829858,2330,台積電,半導體業,600.05,29.572276308836063,31.210030760265084,21.102600509765725,32.02890798597959,-7.167538929175407,-3.944582432543798,-7.323988555137703,1,597.0,1,0.011864406779661017
2021-04-23,592.0,602.0,590.0,602.0,566.591796875,27754511,2330,台積電,半導體業,600.0,27.782608602197598,37.01612400425218,20.984257730882604,41.632881705279466,-0.9967522028688336,-0.3033476296388044,-1.1143140850307418,1,600.0,-1,-0.0033222591362126247
2022-03-10,585.0,589.0,582.0,587.0,559.8572998046875,45630467,2330,台積電,半導體業,614.25,22.583262508663083,12.792293927790423,7.344281518096662,7.8968096373540915,-16.11507134575413,-11.348600888510326,-16.630952529736874,1,581.0,-1,-0.010221465076660987
2022-04-13,564.0,576.0,563.0,573.0,549.2113647460938,35865970,2330,台積電,半導體業,579.25,23.212609354766716,26.729705493241013,13.818914032150076,28.48825356247816,-8.817172306113207,-7.765431194280144,-9.360033866139474,1,565.0,-1,-0.013961605584642234
2022-05-16,521.0,524.0,518.0,520.0,498.41162109375,21163106,2330,台積電,半導體業,536.85,24.36620198672571,21.796605858896374,17.318533749319332,20.511807794981706,-15.52013801894077,-14.649418675205666,-16.23274598296996,1,462.0,-1,-0.11153846153846154
2022-09-12,485.0,491.0,485.0,486.5,468.83538818359375,21597212,2330,台積電,半導體業,501.85,20.389482977561084,14.497075372782765,8.614527496644653,11.550871570393605,-6.351505991277804,-3.1001313150862275,-6.492155316908622,1,493.0,1,0.013360739979445015
2022-09-20,470.5,478.0,470.0,476.5,461.8445129394531,19842582,2330,台積電,半導體業,488.8,22.552412776730137,22.61974188768151,16.284759515972393,22.6534064431572,-8.023970721820717,-6.211118463995761,-8.193490527389201,1,451.0,-1,-0.053515215110178385
2022-10-14,414.5,416.0,409.0,412.0,399.32830810546875,54504366,2330,台積電,半導體業,439.075,21.34493908925359,25.19474271833552,16.838837205308955,27.11964453287648,-19.87661813586135,-17.38611394985054,-20.275326686658275,1,471.0,1,0.14320388349514562
2023-04-28,498.5,502.0,498.0,502.0,492.00848388671875,24824100,2330,台積電,半導體業,515.95,20.42189661655669,14.565591794217681,9.66510298935116,11.637439383048175,-6.4121168459386695,-3.759276062361854,-6.47245022987704,1,500.0,-1,-0.00398406374501992
2023-08-22,544.0,544.0,538.0,541.0,532.7151489257812,14594304,2330,台積電,半導體業,553.25,20.80019298098946,18.205948511802386,16.616956138150858,16.908826277208846,-8.023905057547154,-6.756404258157618,-8.168350062404443,1,552.0,1,0.02033271719038817
2023-09-12,536.0,545.0,536.0,544.0,535.669189453125,16028336,2330,台積電,半導體業,546.9,26.393305828130167,30.311093387781742,19.1354132876498,32.26998716760753,-3.745341606348461,-3.341540964677299,-3.8666997631278264,1,529.0,-1,-0.027573529411764705
2020-03-03,373.0,378.5,371.0,372.0,281.05352783203125,10014005,2454,聯發科,半導體業,385.3,25.099457132961962,21.954082604955353,15.884317621918962,20.381333056723058,-12.39224960215114,-10.930369049108153,-12.686453652915418,1,370.5,-1,-0.004032258064516129
2020-03-23,307.0,314.0,296.0,308.0,232.70025634765625,20264004,2454,聯發科,半導體業,347.975,22.19229233739845,20.817255295999754,16.461515083655623,20.129736682033975,-25.1844052554178,-19.93736056416629,-25.49469749369979,1,330.0,1,0.07142857142857142
